Request ID,Unnamed: 0,Branch or Department,Created Date,Resolved Date,Last Update Time,DueBy Date,Completed Date,Requester,Technician,Priority,Status
16761,3434,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 15, 2020 10:28 AM","Oct 15, 2020 11:34 AM","Oct 15, 2020 11:34 AM","Oct 15, 2020 11:28 AM","Oct 15, 2020 11:34 AM",9a8fcbfc8bc016e7085f6927f5d961292634602780c44f0274ead5164d166fc1,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16762,3433,4290cfd797e6e2d711bfd00b4c1239372e9d1c6483883d4c53a70345e340a30a,"Oct 15, 2020 11:50 AM","Oct 16, 2020 03:25 PM","Oct 16, 2020 03:25 PM","Oct 15, 2020 12:50 PM","Oct 16, 2020 03:25 PM",97f8d4a0f01d68dceed768ef68187595710278e529007158afe02bd806190f8c,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16763,3432,b03676413d7991c503412b5a22254c2805596641453a3c69400014014209a3a2,"Oct 15, 2020 12:27 PM","Oct 19, 2020 12:00 PM","Oct 19, 2020 12:00 PM",-,"Oct 19, 2020 12:00 PM",322e914c282fe6d8f7a9ac820470a2594046fba58493c10dd54ca2680c6eb8f7,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16764,3431,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 15, 2020 01:46 PM","Oct 19, 2020 03:50 PM","Oct 19, 2020 03:50 PM","Oct 15, 2020 03:46 PM","Oct 19, 2020 03:50 PM",07d86712f476ee33bf2746e98644fb3d6ce4f5b845d784397e715fbee11284ec,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16765,3430,51bbcebde7faf7f1546bdfe38768c83f5e5e1853450b67614bdf4c30125bbe14,"Oct 16, 2020 01:23 PM","Oct 19, 2020 12:34 PM","Oct 19, 2020 12:34 PM",-,"Oct 19, 2020 12:34 PM",0d8e4adc9dec3a44017c3eedd0017bcd32470d634c830efb775d6447b03f920a,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16766,3429,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 17, 2020 10:22 AM","Nov 9, 2020 01:20 PM","Nov 9, 2020 01:20 PM","Oct 17, 2020 12:22 PM","Nov 9, 2020 01:20 PM",11bd1f748543bcf9d5f211b1270e9600bbe5fe0501a3a88ccd1f668188f3b49a,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16767,3428,35a72ed1220ed089600050685d365786bd1c980c1abd51165ebee7915b2194cd,"Oct 17, 2020 11:10 AM","Oct 22, 2020 11:47 AM","Oct 22, 2020 11:47 AM","Oct 17, 2020 12:10 PM","Oct 22, 2020 11:47 AM",85443010d2ad0a5910b09c1c2c0ede74f731fcc4799b4be13f7d089fdcb82f95,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16768,3427,23b710b601e235e1823d4c41d7da9f2aeb7a197b16e26fcc6a0245da2482b443,"Oct 17, 2020 02:12 PM","Oct 21, 2020 01:21 PM","Oct 21, 2020 01:21 PM","Oct 17, 2020 03:12 PM","Oct 21, 2020 01:21 PM",8f3da6b897b27e33f09e188f55aa03ab1b34d0a9a246331e7089e028f2f82afa,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16769,3426,51bbcebde7faf7f1546bdfe38768c83f5e5e1853450b67614bdf4c30125bbe14,"Oct 19, 2020 03:41 PM","Oct 20, 2020 09:14 AM","Oct 20, 2020 09:14 AM","Oct 19, 2020 04:41 PM","Oct 20, 2020 09:14 AM",0d8e4adc9dec3a44017c3eedd0017bcd32470d634c830efb775d6447b03f920a,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16770,3425,fbc817f0b023b174e2eb4726d0e9509f4b9e755f085462440c8c5d45e3588176,"Oct 19, 2020 04:40 PM","Nov 5, 2020 09:47 AM","Nov 5, 2020 09:47 AM","Oct 19, 2020 05:40 PM","Nov 5, 2020 09:47 AM",c3cdabb4209672071ef81363c2f8ab2d3b2c4d48da35e11602ebeb48c5912e9b,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16771,3424,befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,"Oct 19, 2020 05:21 PM","Oct 20, 2020 04:35 PM","Oct 20, 2020 04:35 PM","Oct 19, 2020 06:21 PM","Oct 20, 2020 04:35 PM",a6aa1bd8b02cd4eb47fcf1c6a222d71e6885f956c2f750f4060fe5abcf77f054,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16772,3423,107e8a923f1fa5d746ff7bc085ca3c5721ecd594c32a3613d418306199b6d75a,"Oct 20, 2020 08:27 AM","Oct 20, 2020 11:13 AM","Oct 20, 2020 11:13 AM","Oct 20, 2020 09:27 AM","Oct 20, 2020 11:13 AM",55e2a53cad1d9474d5277a796414ccde908ad13086663b44c5aafb3672b1d45d,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16773,3422,01f0f6ee06d8298a4c0fdd80a2492114bf93c3c9295f6af6e13d816194da9a6c,"Oct 20, 2020 11:11 AM","Oct 22, 2020 04:00 PM","Oct 22, 2020 04:00 PM","Oct 20, 2020 12:11 PM","Oct 22, 2020 04:00 PM",f24984eb3e598aedac3dd4636bc7be63ac8927cf13d476d00356a0cb0434308b,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16774,3421,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 20, 2020 12:38 PM","Oct 20, 2020 12:44 PM","Oct 20, 2020 12:44 PM",-,"Oct 20, 2020 12:44 PM",07d86712f476ee33bf2746e98644fb3d6ce4f5b845d784397e715fbee11284ec,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16775,3420,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 20, 2020 12:54 PM","Oct 20, 2020 03:45 PM","Oct 20, 2020 03:45 PM",-,"Oct 20, 2020 03:45 PM",07d86712f476ee33bf2746e98644fb3d6ce4f5b845d784397e715fbee11284ec,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16776,3419,378351dd7b11d622ed374e5004f27f5fc9554a34b9c68eef832364f8bba81fa6,"Oct 20, 2020 01:16 PM","Nov 5, 2020 08:44 AM","Nov 5, 2020 08:44 AM","Oct 20, 2020 05:16 PM","Nov 5, 2020 08:44 AM",a143699dd819c2cf2d9e00d3b96ed1c425cf3d4370775d687b0bb25858fe1ff8,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Normal,Closed
16777,3418,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 20, 2020 02:05 PM","Oct 20, 2020 05:12 PM","Oct 20, 2020 05:12 PM","Oct 20, 2020 03:05 PM","Oct 20, 2020 05:12 PM",07d86712f476ee33bf2746e98644fb3d6ce4f5b845d784397e715fbee11284ec,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
